7zip	25.01+dfsg-1~deb13u2
libgfortran5	14.2.0-19
libgif7	5.2.2-1+deb13u1
libgirepository-1.0-1	1.84.0-1
libgit2-1.9	1.9.0+ds-2+deb13u1
libgjs0g	1.82.3-1
libgl1	1.7.0-1+b2
libgl1	1.7.0-1+b2
libgl1-mesa-dri	25.0.7-2+deb13u1
libgl1-mesa-dri	25.0.7-2+deb13u1
libgl1-nvidia-glvnd-glx	550.163.01-2
libgl1-nvidia-glvnd-glx	550.163.01-2
libgles1	1.7.0-1+b2
libgles1	1.7.0-1+b2
libgles2	1.7.0-1+b2
libgles2	1.7.0-1+b2
libgles-nvidia1	550.163.01-2
libgles-nvidia1	550.163.01-2
libgles-nvidia2	550.163.01-2
libgles-nvidia2	550.163.01-2
libglib2.0-0t64	2.84.4-3~deb13u5
libglib2.0-0t64	2.84.4-3~deb13u5
libglib2.0-bin	2.84.4-3~deb13u5
libglib2.0-data	2.84.4-3~deb13u5
libglibmm-2.4-1t64	2.66.8-1
libglibmm-2.68-1t64	2.84.0-1
libglib-object-introspection-perl	0.051-2+b1
libglib-perl	3:1.329.3-3+b3
libglvnd0	1.7.0-1+b2
libglvnd0	1.7.0-1+b2
libglx0	1.7.0-1+b2
libglx0	1.7.0-1+b2
libglx-mesa0	25.0.7-2+deb13u1
libglx-mesa0	25.0.7-2+deb13u1
libglx-nvidia0	550.163.01-2
libglx-nvidia0	550.163.01-2
libgme0	0.6.3-7+b2
libgme0	0.6.3-7+b2
libgmp10	2:6.3.0+dfsg-3
libgmp10	2:6.3.0+dfsg-3
libgnome-autoar-0-0	0.4.5-2
libgnome-bg-4-2t64	44.3-3
libgnome-bluetooth-3.0-13	47.1-1
libgnome-bluetooth-ui-3.0-13	47.1-1
libgnome-desktop-3-20t64	44.3-3
libgnome-desktop-4-2t64	44.3-3
libgnome-rr-4-2t64	44.3-3
libgnutls30t64	3.8.9-3+deb13u4
libgnutls30t64	3.8.9-3+deb13u4
libgoa-1.0-0b	3.54.5-1~deb13u1
libgoa-1.0-common	3.54.5-1~deb13u1
libgoa-backend-1.0-2	3.54.5-1~deb13u1
libgom-1.0-0t64	0.5.3-1
libgomp1	14.2.0-19
libgomp1	14.2.0-19
libgpg-error0	1.51-4
libgpg-error0	1.51-4
libgpg-error-l10n	1.51-4
libgpgme11t64	1.24.2-3
libgpgmepp6t64	1.24.2-3
libgphoto2-6t64	2.5.31-4
libgphoto2-6t64	2.5.31-4
libgphoto2-l10n	2.5.31-4
libgphoto2-port12t64	2.5.31-4
libgphoto2-port12t64	2.5.31-4
libgpm2	1.20.7-11+b2
libgpm2	1.20.7-11+b2
libgprofng0	2.44-3
libgraphene-1.0-0	1.10.8-5
libgraphite2-3	1.3.14-2+deb13u1
libgraphite2-3	1.3.14-2+deb13u1
libgrilo-0.3-0	0.3.16-2
libgs10	10.05.1~dfsg-1+deb13u1
libgs10-common	10.05.1~dfsg-1+deb13u1
libgs-common	10.05.1~dfsg-1+deb13u1
libgsf-1-114	1.14.53-1
libgsf-1-common	1.14.53-1
libgsm1	1.0.22-1+b2
libgsm1	1.0.22-1+b2
libgsound0t64	1.0.3-3.2+b4
libgspell-1-3	1.14.0-2+b1
libgspell-1-common	1.14.0-2
libgssapi-krb5-2	1.21.3-5+deb13u1
libgssapi-krb5-2	1.21.3-5+deb13u1
libgssdp-1.6-0	1.6.4-1~deb13u1
libgstreamer1.0-0	1.26.2-2
libgstreamer1.0-0	1.26.2-2
libgstreamer-gl1.0-0	1.26.2-1+deb13u1
libgstreamer-plugins-bad1.0-0	1.26.2-3+deb13u3
libgstreamer-plugins-base1.0-0	1.26.2-1+deb13u1
libgstreamer-plugins-base1.0-0	1.26.2-1+deb13u1
libgtk-3-0t64	3.24.49-3
libgtk-3-0t64	3.24.49-3
libgtk-3-bin	3.24.49-3
libgtk-3-common	3.24.49-3
libgtk3-perl	0.038-3
libgtk-4-1	4.18.6+ds-2
libgtk-4-bin	4.18.6+ds-2
libgtk-4-common	4.18.6+ds-2
libgtk-4-media-gstreamer	4.18.6+ds-2
libgtkmm-4.0-0	4.18.0-1
libgtksourceview-4-0	4.8.4-6
libgtksourceview-4-common	4.8.4-6
libgtksourceview-5-0	5.16.0-1
libgtksourceview-5-common	5.16.0-1
libgtk-vnc-2.0-0	1.5.0-1
libgtop-2.0-11	2.41.3-1+b2
libgtop2-common	2.41.3-1
libgudev-1.0-0	238-6
libgudev-1.0-0	238-6
libgupnp-1.6-0	1.6.8-2
libgupnp-av-1.0-3	0.14.3-1
libgupnp-dlna-2.0-4	0.12.0-4+b2
libgupnp-igd-1.6-0	1.6.0-4+b1
libgusb2	0.4.9-1+b1
libgvnc-1.0-0	1.5.0-1
libgweather-4-0t64	4.4.4-1
libgweather-4-common	4.4.4-1
libgxps2t64	0.3.2-4+b2
libhandy-1-0	1.8.3-2
libharfbuzz0b	10.2.0-1+deb13u1
libharfbuzz0b	10.2.0-1+deb13u1
libharfbuzz-gobject0	10.2.0-1+deb13u1
libharfbuzz-icu0	10.2.0-1+deb13u1
libharfbuzz-subset0	10.2.0-1+deb13u1
libheif1	1.19.8-1+deb13u1
libheif1	1.19.8-1+deb13u1
libheif-plugin-aomenc	1.19.8-1+deb13u1
libheif-plugin-aomenc	1.19.8-1+deb13u1
libheif-plugin-dav1d	1.19.8-1+deb13u1
libheif-plugin-dav1d	1.19.8-1+deb13u1
libheif-plugin-libde265	1.19.8-1+deb13u1
libheif-plugin-libde265	1.19.8-1+deb13u1
libheif-plugin-x265	1.19.8-1+deb13u1
libheif-plugin-x265	1.19.8-1+deb13u1
libhidapi-hidraw0	0.14.0-1+b2
libhogweed6t64	3.10.1-1
libhogweed6t64	3.10.1-1
libhtml-format-perl	2.16-2
libhtml-form-perl	6.12-1
libhtml-parser-perl	3.83-2~deb13u1
libhtml-tagset-perl	3.24-1
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1+deb13u1
libhttp-date-perl	6.06-1
libhttp-message-perl	7.00-2
libhttp-negotiate-perl	6.01-2
libhttp-parser2.9	2.9.4-6+b2
libhunspell-1.7-0	1.7.2+really1.7.2-10+b4
libhwasan0	14.2.0-19
libhwy1t64	1.2.0-2+b2
libhwy1t64	1.2.0-2+b2
libhyphen0	2.8.8-7+b2
libibus-1.0-5	1.5.32-2
libical3t64	3.0.20-1+b1
libice6	2:1.1.1-1
libicu76	76.1-4
libidn12	1.43-1
libidn2-0	2.3.8-2
libidn2-0	2.3.8-2
libiec61883-0	1.2.0-7
libiec61883-0	1.2.0-7
libieee1284-3t64	0.2.11-14.1+b1
libigdgmm12	22.7.2+ds1-1
libijs-0.35	0.35-15.2
libimagequant0	2.18.0-1+b2
libimagequant0	2.18.0-1+b2
libimath-3-1-29t64	3.1.12-1+b3
libimobiledevice-1.0-6	1.3.0+git20250228-2
libimobiledevice-glue-1.0-0	1.3.1-1
libindi-data	1.9.9+dfsg-3
libindidriver1	1.9.9+dfsg-3+b5
libinih1	59-1
libinireader0	59-1
libinput10	1.28.1-1+deb13u1
libinput-bin	1.28.1-1+deb13u1
libinstpatch-1.0-2	1.1.6-1+b2
libio-compress-brotli-perl	0.004001-2+b3
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.089-1
libio-stringy-perl	2.113-2
libipc-system-simple-perl	1.30-2
libiptcdata0	1.0.5-2.4
libisl23	0.27-1
libitm1	14.2.0-19
libixml11t64	1:1.14.20-1+deb13u1
libjack-jackd2-0	1.9.22~dfsg-4
libjack-jackd2-0	1.9.22~dfsg-4
libjansson4	2.14-2+b3
libjavascriptcoregtk-4.1-0	2.52.6-1~deb13u1
libjavascriptcoregtk-6.0-1	2.52.6-1~deb13u1
libjaylink0	0.4.0-1
libjbig0	2.1-6.1+b2
libjbig0	2.1-6.1+b2
libjbig2dec0	0.20-1+b3
libjcat1	0.2.3-1
libjemalloc2	5.3.0-3
libjim0.83	0.83-2
libjpeg62-turbo	1:2.1.5-4
libjpeg62-turbo	1:2.1.5-4
libjq1	1.7.1-6+deb13u3
libjson-c5	0.18+ds-1
libjson-glib-1.0-0	1.10.6+ds-2
libjson-glib-1.0-common	1.10.6+ds-2
libjxl0.11	0.11.2-0.1~deb13u2
libjxl0.11	0.11.2-0.1~deb13u2
libjxl-gdk-pixbuf	0.11.2-0.1~deb13u2
libjxr0t64	1.2~git20170615.f752187-5.3
libjxr-tools	1.2~git20170615.f752187-5.3
libk5crypto3	1.21.3-5+deb13u1
libk5crypto3	1.21.3-5+deb13u1
libkate1	0.4.3-1
libkeyutils1	1.6.3-6
libkeyutils1	1.6.3-6
libkf6archive6	6.13.0-2
libkf6archive-data	6.13.0-2
libkf6authcore6	6.13.0-1
libkf6auth-data	6.13.0-1
libkf6breezeicons6	6.13.0-3
libkf6codecs6	6.13.0-1
libkf6codecs-data	6.13.0-1
libkf6colorscheme6	6.13.0-1
libkf6colorscheme-data	6.13.0-1
libkf6config-bin	6.13.0-2
libkf6configcore6	6.13.0-2
libkf6config-data	6.13.0-2
libkf6configgui6	6.13.0-2
libkf6configwidgets6	6.13.0-1
libkf6configwidgets-data	6.13.0-1
libkf6coreaddons6	6.13.0-1
libkf6coreaddons-data	6.13.0-1
libkf6crash6	6.13.0-1
libkf6dbusaddons6	6.13.0-1
libkf6dbusaddons-bin	6.13.0-1
libkf6dbusaddons-data	6.13.0-1
libkf6doctools6	6.13.0-1
libkf6globalaccel6	6.13.0-1
libkf6globalaccel-data	6.13.0-1
libkf6guiaddons6	6.13.0-1
libkf6guiaddons-bin	6.13.0-1
libkf6guiaddons-data	6.13.0-1
libkf6i18n6	6.13.0-1
libkf6i18n-data	6.13.0-1
libkf6i18nqml6	6.13.0-1
libkf6iconthemes6	6.13.0-2
libkf6iconthemes-bin	6.13.0-2
libkf6iconthemes-data	6.13.0-2
libkf6iconwidgets6	6.13.0-2
libkf6itemmodels6	6.13.0-1
libkf6itemviews6	6.13.0-1
libkf6itemviews-data	6.13.0-1
libkf6jobwidgets6	6.13.0-1
libkf6jobwidgets-data	6.13.0-1
libkf6kcmutils6	6.13.0-2
libkf6kcmutils-bin	6.13.0-2
libkf6kcmutilscore6	6.13.0-2
libkf6kcmutils-data	6.13.0-2
libkf6kcmutilsquick6	6.13.0-2
libkf6kiocore6	6.13.0-6
libkf6kiogui6	6.13.0-6
libkf6notifications6	6.13.0-1
libkf6notifications-data	6.13.0-1
libkf6parts6	6.13.0-1
libkf6parts-data	6.13.0-1
libkf6runner6	6.13.0-1
libkf6service6	6.13.0-1
libkf6service-bin	6.13.0-1
libkf6service-data	6.13.0-1
libkf6solid6	6.13.0-1
libkf6solid-data	6.13.0-1
libkf6wallet6	6.13.0-1
libkf6walletbackend6	6.13.0-1
libkf6wallet-data	6.13.0-1
libkf6widgetsaddons6	6.13.0-1
libkf6widgetsaddons-data	6.13.0-1
libkf6windowsystem6	6.13.0-2
libkf6windowsystem-data	6.13.0-2
libkf6xmlgui6	6.13.0-1
libkf6xmlgui-data	6.13.0-1
libkirigami6	6.13.0-2
libkirigami-data	6.13.0-2
libkirigamidelegates6	6.13.0-2
libkirigamidialogs6	6.13.0-2
libkirigamilayouts6	6.13.0-2
libkirigamiplatform6	6.13.0-2
libkirigamiprimitives6	6.13.0-2
libkirigamiprivate6	6.13.0-2
libklibc	2.0.14-1
libkmod2	34.2-2
libkpathsea6	2024.20240313.70630+ds-6
libkpmcore12	24.12.3-2
libkrb5-3	1.21.3-5+deb13u1
libkrb5-3	1.21.3-5+deb13u1
libkrb5support0	1.21.3-5+deb13u1
libkrb5support0	1.21.3-5+deb13u1
libksba8	1.6.7-2+b1
liblapack3	3.12.1-6
liblastlog2-2	2.41.5-0+deb13u1
liblc3-1	1.1.3+dfsg-1
liblcms2-2	2.16-2+deb13u2
liblcms2-2	2.16-2+deb13u2
libldacbt-abr2	2.0.2.3+git20200429+ed310a0-5
libldacbt-enc2	2.0.2.3+git20200429+ed310a0-5
libldap2	2.6.10+dfsg-1
libldap2	2.6.10+dfsg-1
libldap-common	2.6.10+dfsg-1
libldb2	2:2.11.0+samba4.22.11+dfsg-0+deb13u1
liblerc4	4.0.0+ds-5
liblerc4	4.0.0+ds-5
liblilv-0-0	0.24.26-1
liblirc-client0t64	0.10.2-0.10
libllvm19	1:19.1.7-3+b1
libllvm19	1:19.1.7-3+b1
liblmdb0	0.9.31-1+b2
liblocale-gettext-perl	1.07-7+b1
liblouis20	3.33.0-1
liblouis-data	3.33.0-1
liblouisutdml9t64	2.12.0-7
liblouisutdml-bin	2.12.0-7
liblouisutdml-data	2.12.0-7
liblqr-1-0	0.4.2-2.1+b2
liblrdf0	0.6.1-4+b2
liblsan0	14.2.0-19
liblsof0	4.99.4+dfsg-2
libltc11	1.3.2-1+b2
libltdl7	2.5.4-4
libltdl7	2.5.4-4
liblttng-ust1t64	2.13.9-1
liblttng-ust-common1t64	2.13.9-1
liblttng-ust-ctl5t64	2.13.9-1
liblua5.2-0	5.2.4-3+b3
liblua5.4-0	5.4.7-1+b2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.14-1
liblz4-1	1.10.0-4
liblzma5	5.8.1-1+deb13u1
liblzma5	5.8.1-1+deb13u1
liblzo2-2	2.10-3+b1
libmad0	0.15.1b-11+b1
libmagic1t64	1:5.46-5
libmagickcore-7.q16-10	8:7.1.1.43+dfsg1-1+deb13u12
libmagickcore-7.q16-10-extra	8:7.1.1.43+dfsg1-1+deb13u12
libmagickwand-7.q16-10	8:7.1.1.43+dfsg1-1+deb13u12
libmagic-mgc	1:5.46-5
libmailtools-perl	2.22-1
libmalcontent-0-0	0.13.0-2+deb13u1
libmalcontent-ui-1-1	0.13.0-2+deb13u1
libmanette-0.2-0	0.2.12-1
libmatroska7	1.7.1-1+b2
libmbedcrypto16	3.6.6-0.1~deb13u1
libmbedcrypto16	3.6.6-0.1~deb13u1
libmbedtls21	3.6.6-0.1~deb13u1
libmbedx509-7	3.6.6-0.1~deb13u1
libmbim-glib4	1.32.0-1
libmbim-proxy	1.32.0-1
libmbim-utils	1.32.0-1
libmd0	1.1.0-2+b1
libmd0	1.1.0-2+b1
libmd4c0	0.5.2-2+b1
libmediaart-2.0-0	1.9.7-1
libmjpegutils-2.1-0t64	1:2.1.0+debian-8.1+b1
libmm-glib0	1.24.0-1+deb13u1
libmms0	0.6.4-3+b2
libmnl0	1.0.5-3
libmodplug1	1:0.8.9.0-3+b2
libmount1	2.41.5-0+deb13u1
libmount1	2.41.5-0+deb13u1
libmozjs-128-0	128.14.0-1~deb13u1
libmp3lame0	3.100-6+b3
libmp3lame0	3.100-6+b3
libmpc3	1.3.1-1+b3
libmpcdec6	2:0.1~r495-3
libmpeg2-4	0.5.1-9+b3
libmpeg2encpp-2.1-0t64	1:2.1.0+debian-8.1+b1
libmpfr6	4.2.2-1
libmpg123-0t64	1.32.10-1+deb13u1
libmpg123-0t64	1.32.10-1+deb13u1
libmplex2-2.1-0t64	1:2.1.0+debian-8.1+b1
libmsgraph-1-1	0.3.3-3
libmspack0t64	0.11-1.1+b1
libmtdev1t64	1.1.7-1
libmtp9t64	1.1.22-1
libmtp-common	1.1.22-1
libmtp-runtime	1.1.22-1
libmutter-16-0	48.7-0+deb13u1
libmysofa1	1.3.3+dfsg-1
libnautilus-extension4	48.3-2
libncurses6	6.5+20250216-2
libncurses6	6.5+20250216-2
libncursesw6	6.5+20250216-2
libncursesw6	6.5+20250216-2
libndp0	1.9-1+b1
libneon27t64	0.34.2-1
libneon27t64-gnutls	0.34.2-1
libnet-dbus-perl	1.2.0-2+b3
libnetfilter-conntrack3	1.1.0-1
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.94-3
libnettle8t64	3.10.1-1
libnettle8t64	3.10.1-1
libnewt0.52	0.52.25-1
libnfnetlink0	1.0.2-3
libnfs14	5.0.2-1+deb13u1
libnftables1	1.1.3-1
libnftnl11	1.2.9-1
libnghttp2-14	1.64.0-1.1+deb13u1
libnghttp2-14	1.64.0-1.1+deb13u1
libnghttp3-9	1.8.0-1
libnghttp3-9	1.8.0-1
libngtcp2-16	1.11.0-1+deb13u1
libngtcp2-16	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1
libnice10	0.1.22-1
libnl-3-200	3.7.0-2
libnl-genl-3-200	3.7.0-2
libnl-route-3-200	3.7.0-2
libnm0	1.52.1-1
libnm0	1.52.1-1
libnma0	1.10.6-5
libnma-common	1.10.6-5
libnma-gtk4-0	1.10.6-5
libnorm1t64	1.5.9+dfsg-3.1+b2
libnorm1t64	1.5.9+dfsg-3.1+b2
libnotify4	0.8.6-1
libnova-0.16-0t64	0.16-5.1+b1
libnpth0t64	1.8-3
libnspr4	2:4.36-1
libnss3	2:3.110-1+deb13u4
libnss-mdns	0.15.1-4+b1
libnss-myhostname	257.13-1~deb13u1
libntfs-3g89t64	1:2022.10.3-5+deb13u2
libnuma1	2.0.19-1
libnuma1	2.0.19-1
libnvcuvid1	550.163.01-2
libnvcuvid1	550.163.01-2
libnvidia-allocator1	550.163.01-2
libnvidia-allocator1	550.163.01-2
libnvidia-cfg1	550.163.01-2
libnvidia-eglcore	550.163.01-2
libnvidia-eglcore	550.163.01-2
libnvidia-egl-gbm1	1.1.2.1-1
libnvidia-egl-gbm1	1.1.2.1-1
libnvidia-egl-wayland1	1:1.1.18-1
libnvidia-egl-wayland1	1:1.1.18-1
libnvidia-encode1	550.163.01-2
libnvidia-encode1	550.163.01-2
libnvidia-glcore	550.163.01-2
libnvidia-glcore	550.163.01-2
libnvidia-glvkspirv	550.163.01-2
libnvidia-glvkspirv	550.163.01-2
libnvidia-gpucomp	550.163.01-2
libnvidia-gpucomp	550.163.01-2
libnvidia-ml1	550.163.01-2
libnvidia-pkcs11-openssl3	550.163.01-2
libnvidia-ptxjitcompiler1	550.163.01-2
libnvidia-ptxjitcompiler1	550.163.01-2
libnvidia-rtcore	550.163.01-2
libnvme1t64	1.13-2
liboauth0	1.0.3-5+b2
libodbc2	2.3.12-2+deb13u1
libodbc2	2.3.12-2+deb13u1
libodbccr2	2.3.12-2+deb13u1
libodbccr2	2.3.12-2+deb13u1
libogg0	1.3.5-3+b2
libogg0	1.3.5-3+b2
libonig5	6.9.9-1+b1
libonnx1t64	1.17.0-3+b1
libonnxruntime1.21	1.21.0+dfsg-1
libopenal1	1:1.24.2-1
libopenal-data	1:1.24.2-1
libopencore-amrnb0	0.1.6-1+b2
libopencore-amrnb0	0.1.6-1+b2
libopencore-amrwb0	0.1.6-1+b2
libopencore-amrwb0	0.1.6-1+b2
libopenexr-3-1-30	3.1.13-2
libopenfec1	1.4.2.11+dfsg-1
libopengl0	1.7.0-1+b2
libopengl0	1.7.0-1+b2
libopenh264-8	2.6.0+dfsg-2
libopenjp2-7	2.5.3-2.1~deb13u2
libopenjp2-7	2.5.3-2.1~deb13u2
libopenmpt0t64	0.7.13-1+b1
libopenmpt0t64	0.7.13-1+b1
libopenmpt-modplug1	0.8.9.0-openmpt1-2+b3
libopenni2-0	2.2.0.33+dfsg-18+b2
libopus0	1.5.2-2
libopus0	1.5.2-2
libopusfile0	0.12-4+b3
liborc-0.4-0t64	1:0.4.41-1
liborc-0.4-0t64	1:0.4.41-1
libosinfo-1.0-0	1.12.0-2
libosinfo-l10n	1.12.0-2
libosmesa6	25.0.7-2+deb13u1
libosmesa6	25.0.7-2+deb13u1
libostree-1-1	2025.2-1
libp11-kit0	0.25.5-3
libp11-kit0	0.25.5-3
libpackagekit-glib2-18	1.3.1-1+deb13u1
libpam0g	1.7.0-5
libpam-gnome-keyring	48.0-1
libpam-modules	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd	257.13-1~deb13u1
libpango-1.0-0	1.56.3-1
libpango-1.0-0	1.56.3-1
libpangocairo-1.0-0	1.56.3-1
libpangocairo-1.0-0	1.56.3-1
libpangoft2-1.0-0	1.56.3-1
libpangoft2-1.0-0	1.56.3-1
libpangomm-2.48-1t64	2.56.1-1
libpangoxft-1.0-0	1.56.3-1
libpaper2	2.2.5-0.3+b2
libpaper-utils	2.2.5-0.3+b2
libparted2t64	3.6-5
libpcap0.8t64	1.10.5-2
libpcap0.8t64	1.10.5-2
libpcaudio0	1.3-1
libpci3	1:3.13.0-2
libpciaccess0	0.17-3+b3
libpciaccess0	0.17-3+b3
libpcre2-16-0	10.46-1~deb13u2
libpcre2-32-0	10.46-1~deb13u2
libpcre2-8-0	10.46-1~deb13u2
libpcre2-8-0	10.46-1~deb13u2
libpcsclite1	2.3.3-1
libpcsclite1	2.3.3-1
libpeas-1.0-0	1.36.0-3+b4
libpeas-common	1.36.0-3
libperl5.40	5.40.1-6+deb13u1
libpgm-5.3-0t64	5.3.128~dfsg-2.1+b1
libpgm-5.3-0t64	5.3.128~dfsg-2.1+b1
libphonenumber8	8.13.51+ds-4.2
libpipeline1	1.5.8-1
libpipewire-0.3-0t64	1.4.2-1
libpipewire-0.3-common	1.4.2-1
libpipewire-0.3-modules	1.4.2-1
libpixman-1-0	0.44.0-3
libpixman-1-0	0.44.0-3
libplacebo349	7.349.0-3
libplasmaactivities6	6.3.4-1
libplist-2.0-4	2.6.0-2+b1
libplymouth5	24.004.60-5
libpng16-16t64	1.6.48-1+deb13u5
libpng16-16t64	1.6.48-1+deb13u5
libpocketsphinx3	0.8+5prealpha+1-15+b4
libpolkit-agent-1-0	126-2
libpolkit-gobject-1-0	126-2
libpolkit-qt6-1-1	0.200.0-4+b1
libpoppler147	25.03.0-5+deb13u4
libpoppler-cpp2	25.03.0-5+deb13u4
libpoppler-glib8t64	25.03.0-5+deb13u4
libpopt0	1.19+dfsg-2
libportal1	0.9.1-1
libportal-gtk3-1	0.9.1-1
libportal-gtk4-1	0.9.1-1
libpostproc58	7:7.1.5-0+deb13u1
libproc2-0	2:4.0.4-9
libprotobuf32t64	3.21.12-11+deb13u1
libprotobuf-c1	1.5.1-1
libprotobuf-lite32t64	3.21.12-11+deb13u1
libproxy1v5	0.5.9-1
libproxy1v5	0.5.9-1
libproxy-tools	0.5.9-1
libpsl5t64	0.21.2-1.1+b1
libpsl5t64	0.21.2-1.1+b1
libpthreadpool0	0.0~git20240616.560c60d-1
libpulse0	17.0+dfsg1-2+b1
libpulse0	17.0+dfsg1-2+b1
libpulse-mainloop-glib0	17.0+dfsg1-2+b1
libpwquality1	1.4.5-5
libpwquality-common	1.4.5-5
libpython3.13	3.13.5-2+deb13u5
libpython3.13-minimal	3.13.5-2+deb13u5
libpython3.13-stdlib	3.13.5-2+deb13u5
libpython3-stdlib	3.13.5-1
libqca-qt6-2	2.3.10-1
libqca-qt6-plugins	2.3.10-1
libqmi-glib5	1.36.0-1
libqmi-proxy	1.36.0-1
libqmi-utils	1.36.0-1
libqpdf30	12.2.0-1
libqrencode4	4.1.1-2
libqrtr-glib0	1.2.2-1+b2
libqt5core5t64	5.15.15+dfsg-6+deb13u1
libqt5dbus5t64	5.15.15+dfsg-6+deb13u1
libqt5gui5t64	5.15.15+dfsg-6+deb13u1
libqt5network5t64	5.15.15+dfsg-6+deb13u1
libqt5qml5	5.15.15+dfsg-3
libqt5qmlmodels5	5.15.15+dfsg-3
libqt5qmlworkerscript5	5.15.15+dfsg-3
libqt5quick5	5.15.15+dfsg-3
libqt5svg5	5.15.15-2
libqt5waylandclient5	5.15.15-3
libqt5waylandcompositor5	5.15.15-3
libqt5widgets5t64	5.15.15+dfsg-6+deb13u1
libqt5x11extras5	5.15.15-2
libqt6core5compat6	6.8.2-3+b1
libqt6core6t64	6.8.2+dfsg-9+deb13u2
libqt6dbus6	6.8.2+dfsg-9+deb13u2
libqt6gui6	6.8.2+dfsg-9+deb13u2
libqt6multimedia6	6.8.2-8
libqt6network6	6.8.2+dfsg-9+deb13u2
libqt6opengl6	6.8.2+dfsg-9+deb13u2
libqt6openglwidgets6	6.8.2+dfsg-9+deb13u2
libqt6printsupport6	6.8.2+dfsg-9+deb13u2
libqt6qml6	6.8.2+dfsg-7
libqt6qmlmeta6	6.8.2+dfsg-7
libqt6qmlmodels6	6.8.2+dfsg-7
libqt6qmlworkerscript6	6.8.2+dfsg-7
libqt6quick6	6.8.2+dfsg-7
libqt6quickcontrols2-6	6.8.2+dfsg-7
libqt6quickshapes6	6.8.2+dfsg-7
libqt6quicktemplates2-6	6.8.2+dfsg-7
libqt6quickwidgets6	6.8.2+dfsg-7
libqt6sql6	6.8.2+dfsg-9+deb13u2
libqt6sql6-sqlite	6.8.2+dfsg-9+deb13u2
libqt6svg6	6.8.2-3
libqt6waylandclient6	6.8.2-4
libqt6waylandcompositor6	6.8.2-4
libqt6widgets6	6.8.2+dfsg-9+deb13u2
libqt6wlshellintegration6	6.8.2-4
libqt6xml6	6.8.2+dfsg-9+deb13u2
libquadmath0	14.2.0-19
librabbitmq4	0.15.0-1+deb13u2
librabbitmq4	0.15.0-1+deb13u2
libraptor2-0	2.0.16-6
librav1e0.7	0.7.1-9+b2
librav1e0.7	0.7.1-9+b2
libraw1394-11	2.1.2-2+b2
libraw1394-11	2.1.2-2+b2
libraw23t64	0.21.4-2+deb13u1
libre2-11	20240702-3+b1
libreadline8t64	8.2-6
libreiserfscore0t64	1:3.6.27-9
libresid-builder0c2a	2.1.1-16
librest-1.0-0	0.9.1-6+b2
librist4	0.2.11+dfsg-1
librist4	0.2.11+dfsg-1
libroc0.4	0.4.0+dfsg-5
librsvg2-2	2.60.0+dfsg-1
librsvg2-2	2.60.0+dfsg-1
librsvg2-common	2.60.0+dfsg-1
librsvg2-common	2.60.0+dfsg-1
librtmp1	2.4+20151223.gitfa8646d.1-2+b5
librtmp1	2.4+20151223.gitfa8646d.1-2+b5
librubberband2	3.3.0+dfsg-2+b3
librygel-core-2.8-0	0.44.2-1
librygel-db-2.8-0	0.44.2-1
librygel-renderer-2.8-0	0.44.2-1
librygel-renderer-gst-2.8-0	0.44.2-1
librygel-server-2.8-0	0.44.2-1
libsamplerate0	0.2.2-4+b2
libsamplerate0	0.2.2-4+b2
libsane1	1.3.1-3+b1
libsane-common	1.3.1-3
libsasl2-2	2.1.28+dfsg1-9
libsasl2-2	2.1.28+dfsg1-9
libsasl2-modules	2.1.28+dfsg1-9
libsasl2-modules	2.1.28+dfsg1-9
libsasl2-modules-db	2.1.28+dfsg1-9
libsasl2-modules-db	2.1.28+dfsg1-9
libsbc1	2.1-1
libsbig4t64	4.9.9-7
libsdl2-2.0-0	2.32.4+dfsg-1
libsdl2-2.0-0	2.32.4+dfsg-1
libseccomp2	2.6.0-2
libsecret-1-0	0.21.7-1
libsecret-common	0.21.7-1
libselinux1	3.8.1-1
libselinux1	3.8.1-1
libsemanage2	3.8.1-1
libsemanage-common	3.8.1-1
libsensors5	1:3.6.2-2
libsensors5	1:3.6.2-2
libsensors-config	1:3.6.2-2
libsepol2	3.8.1-1
libserd-0-0	0.32.4-1
libsframe1	2.44-3
libsharpyuv0	1.5.0-0.1
libsharpyuv0	1.5.0-0.1
libshine3	3.1.1-2+b2
libshine3	3.1.1-2+b2
libshout3	2.4.6-1+b3
libshout3	2.4.6-1+b3
libshumate-1.0-1	1.4.0-1
libshumate-common	1.4.0-1
libsidplay1v5	1.36.60-1+b2
libsidplay2	2.1.1-16
libsidplayfp6	2.12.0-1
libsigc++-2.0-0v5	2.12.1-3
libsigc++-3.0-0	3.6.0-2+b1
libslang2	2.3.3-5+b2
libslang2	2.3.3-5+b2
libsm6	2:1.2.6-1
libsmartcols1	2.41.5-0+deb13u1
libsmbclient0	2:4.22.11+dfsg-0+deb13u1
libsnappy1v5	1.2.2-1
