7zip	25.01+dfsg-1~deb13u2
g++-14	14.2.0-19
g++-14-x86-64-linux-gnu	14.2.0-19
g++	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-base	14.2.0-19
gcc-14-base	14.2.0-19
gcc-14-x86-64-linux-gnu	14.2.0-19
gcc	4:14.2.0-1
gcc-x86-64-linux-gnu	4:14.2.0-1
gcr	3.41.2-3
gcr4	4.4.0.1-3
gdm3	48.0-2
geoclue-2.0	2.7.2-2
geocode-glib-common	3.26.4-1
gettext-base	0.23.1-2
ghostscript	10.05.1~dfsg-1+deb13u1
gir1.2-accountsservice-1.0	23.13.9-7
gir1.2-adw-1	1.7.6-1~deb13u1
gir1.2-atk-1.0	2.56.2-1+deb13u2
gir1.2-atspi-2.0	2.56.2-1+deb13u2
gir1.2-evince-3.0	48.1-3+deb13u1
gir1.2-freedesktop	1.84.0-1
gir1.2-gck-2	4.4.0.1-3
gir1.2-gcr-4	4.4.0.1-3
gir1.2-gdesktopenums-3.0	48.0-1
gir1.2-gdkpixbuf-2.0	2.42.12+dfsg-4+deb13u1
gir1.2-gdm-1.0	48.0-2
gir1.2-geoclue-2.0	2.7.2-2
gir1.2-geocodeglib-2.0	3.26.4-1
gir1.2-girepository-2.0	1.84.0-1
gir1.2-glib-2.0	2.84.4-3~deb13u5
gir1.2-gnomebg-4.0	44.3-3
gir1.2-gnomebluetooth-3.0	47.1-1
gir1.2-gnomedesktop-4.0	44.3-3
gir1.2-graphene-1.0	1.10.8-5
gir1.2-gst-plugins-base-1.0	1.26.2-1+deb13u1
gir1.2-gstreamer-1.0	1.26.2-2
gir1.2-gtk-3.0	3.24.49-3
gir1.2-gtk-4.0	4.18.6+ds-2
gir1.2-gtksource-4	4.8.4-6
gir1.2-gweather-4.0	4.4.4-1
gir1.2-harfbuzz-0.0	10.2.0-1+deb13u1
gir1.2-ibus-1.0	1.5.32-2
gir1.2-javascriptcoregtk-4.1	2.52.6-1~deb13u1
gir1.2-json-1.0	1.10.6+ds-2
gir1.2-malcontent-0	0.13.0-2+deb13u1
gir1.2-mutter-16	48.7-0+deb13u1
gir1.2-nm-1.0	1.52.1-1
gir1.2-nma4-1.0	1.10.6-5
gir1.2-notify-0.7	0.8.6-1
gir1.2-pango-1.0	1.56.3-1
gir1.2-peas-1.0	1.36.0-3+b4
gir1.2-polkit-1.0	126-2
gir1.2-rest-1.0	0.9.1-6+b2
gir1.2-rsvg-2.0	2.60.0+dfsg-1
gir1.2-secret-1	0.21.7-1
gir1.2-shumate-1.0	1.4.0-1
gir1.2-soup-3.0	3.6.5-3
gir1.2-totem-1.0	43.2-3
gir1.2-totemplparser-1.0	3.26.6-2
gir1.2-upowerglib-1.0	1.90.9-1
gir1.2-webkit2-4.1	2.52.6-1~deb13u1
gir1.2-wnck-3.0	43.2-1
gir1.2-xdp-1.0	0.9.1-1
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
gjs	1.82.3-1
glib-networking	2.80.1-1
glib-networking	2.80.1-1
glib-networking-common	2.80.1-1
glib-networking-services	2.80.1-1
glx-alternative-mesa	1.2.2
glx-alternative-nvidia	1.2.2
glx-diversions	1.2.2
glycin-loaders	1.2.1+ds-2
gnome-backgrounds	48.2.1-1
gnome-bluetooth-3-common	47.1-1
gnome-bluetooth-sendto	47.1-1
gnome-browser-connector	42.1-6
gnome-calculator	1:48.1-2+b1
gnome-calendar	48.1-2+b1
gnome-characters	48.0-1
gnome-clocks	48.0-2+b1
gnome-connections	48.0-2+b1
gnome-contacts	48.0-2+b1
gnome-control-center	1:48.4-1~deb13u1
gnome-control-center-data	1:48.4-1~deb13u1
gnome-core	1:48+2
gnome-desktop3-data	44.3-3
gnome-disk-utility	46.1-2+b1
gnome-font-viewer	48.0-2+b1
gnome-icon-theme	3.12.0-6
gnome-keyring	48.0-1
gnome-keyring-pkcs11	48.0-1
gnome-logs	45.0-1
gnome-maps	48.7-0+deb13u1
gnome-menus	3.36.0-3
gnome-online-accounts	3.54.5-1~deb13u1
gnome-remote-desktop	48.1-4
gnome-session	48.0-1+deb13u1
gnome-session-bin	48.0-1+deb13u1
gnome-session-common	48.0-1+deb13u1
gnome-session-xsession	48.0-1+deb13u1
gnome-settings-daemon	48.1-1
gnome-settings-daemon-common	48.1-1
gnome-shell	48.7-0+deb13u2
gnome-shell-common	48.7-0+deb13u2
gnome-snapshot	48.0.1-1
gnome-software	48.3-2
gnome-software-common	48.3-2
